Timestamp,year,TOT_PREP(mm),Total Inrrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios,
3/29/2016,2016,3.5,4931.1,9235.3,892,67.73,303.3,19.32,5.874,1435,26.03,1411,91.9,841,0,1,19.62,801,62.05,1412,0.94,300.9,67.26,0.839,0.142,0.123,0.095,0.07,0.102,0.103,0.144,0.16,12.34,,
3/30/2016,2016,35.6,2366.3,4589,427,42.43,139.5,9.39,7.31,1205,23.96,1118,93.8,648,0,0,20.08,708,78.5,1115,0.822,265.8,67.16,0.793,0.058,0.061,0.053,0.065,0.136,0.156,0.168,0.126,12.34,,
3/31/2016,2016,2.7,2933.2,5439.4,536.5,46.94,167.2,10.82,7.63,1258,24.67,1240,93.4,659,0,1,20.16,633,70.9,1234,1.169,63.68,71.9,1.007,0.177,0.237,0.199,0.099,0.1,0.111,0.123,0.122,12.35,,
4/1/2016,2016,8.1,4237.6,8008.4,788,58.55,239.7,14.96,8.27,1103,24.28,1646,94.6,428,0,16,19.31,322,73.1,1633,0.925,275.7,67.72,1,0.078,0.089,0.086,0.095,0.171,0.13,0.167,0.108,12.35,,
4/2/2016,2016,0.1,4506.5,8171.3,834,60.95,270.7,16.97,5.075,1110,27.07,1628,92.5,621,0,0,21.69,619,65.17,1627,0.798,351.5,62.62,0.78,0.176,0.117,0.066,0.034,0.032,0.059,0.132,0.183,12.34,,
4/3/2016,2016,5.2,6396.1,11605,1190,85.6,367.4,22.62,5.075,1058,27.76,1517,95.3,628,0,2,21.13,519,55.11,1433,0.771,336.8,48.37,0.895,0.225,0.093,0.037,0.021,0.039,0.058,0.11,0.187,12.33,,
4/4/2016,2016,0,2351.1,7680.8,766,59.68,249.7,15.17,4.755,1239,27.24,1146,90,641,0,0,20.97,512,55.16,1144,0.693,334.3,47.75,0.774,0.139,0.094,0.056,0.028,0.034,0.063,0.126,0.153,12.33,,
4/5/2016,2016,1.3,5989.4,12686,1310,92.9,345.8,20.81,7.31,1741,28.67,1354,90.9,342,0,3,19.79,351,51.94,1429,1.229,214.7,57.48,1.183,0.059,0.037,0.073,0.36,0.402,0.111,0.102,0.087,12.34,,
4/6/2016,2016,0,5750.4,15654,1549,105.7,425.7,25.75,5.395,1421,28.91,1512,88,2345,0,0,21.77,2342,49.77,1154,0.865,34.04,44.6,0.865,0.138,0.062,0.125,0.12,0.065,0.034,0.092,0.229,12.33,,
4/7/2016,2016,7.9,4330.1,10573,1073,74.3,333.3,20.67,5.075,404,28.81,1500,94.4,443,0,5,20.95,429,60.17,1318,0.83,331.1,58.95,0.763,0.132,0.085,0.084,0.063,0.061,0.078,0.153,0.175,12.34,,
4/8/2016,2016,0.3,2566,10617,1061,76.5,341.8,20.91,5.235,1208,28.79,1336,89.8,522,0,0,21.54,408,57.07,1337,0.71,310.7,48.23,0.76,0.132,0.05,0.022,0.021,0.039,0.074,0.189,0.184,12.33,,
4/9/2016,2016,0,1844.6,11104,1092,78.5,358.1,22.12,6.034,1211,27.56,1302,88.5,621,0,0,20.81,529,55.52,1245,1.055,17.39,48.71,1.004,0.307,0.153,0.098,0.064,0.076,0.053,0.079,0.225,12.34,,
4/10/2016,2016,1.1,4132.6,11347,1153,80.2,338.4,21.06,5.554,1323,28.07,1540,90.4,2100,0,1,21.08,539,54.91,1506,1.022,65.34,55.63,0.823,0.186,0.117,0.169,0.127,0.089,0.055,0.098,0.181,12.34,,
